provinsi,tahun,bulan,suhu_rata_c,suhu_max_c,suhu_min_c,curah_hujan_mm,kelembapan_pct,kec_angin_ms,sumber,nama_bulan
Aceh,2015,1,26.01,28.84,24.0,202.6,85.77,3.62,Open-Meteo ERA5,Januari
Aceh,2015,2,26.36,29.42,24.04,48.5,80.93,4.75,Open-Meteo ERA5,Februari
Aceh,2015,3,26.95,30.19,24.36,139.0,83.81,3.17,Open-Meteo ERA5,Maret
Aceh,2015,4,26.57,29.41,24.67,269.3,89.27,2.54,Open-Meteo ERA5,April
Aceh,2015,5,27.44,30.34,25.48,146.2,86.45,2.94,Open-Meteo ERA5,Mei
Aceh,2015,6,27.63,30.53,25.58,133.1,82.47,3.4,Open-Meteo ERA5,Juni
Aceh,2015,7,26.92,29.57,25.12,205.2,85.39,4.31,Open-Meteo ERA5,Juli
Aceh,2015,8,26.77,29.44,24.89,151.1,85.94,3.81,Open-Meteo ERA5,Agustus
Aceh,2015,9,26.52,29.43,24.63,276.7,86.83,3.24,Open-Meteo ERA5,September
Aceh,2015,10,26.44,29.26,24.59,320.9,89.19,2.42,Open-Meteo ERA5,Oktober
Aceh,2015,11,26.05,28.86,24.32,393.5,90.63,2.56,Open-Meteo ERA5,November
Aceh,2015,12,26.44,29.09,24.5,155.7,87.23,3.35,Open-Meteo ERA5,Desember
Aceh,2016,1,27.01,29.73,25.03,139.9,85.13,3.84,Open-Meteo ERA5,Januari
Aceh,2016,2,26.98,29.74,25.01,101.6,82.97,5.09,Open-Meteo ERA5,Februari
Aceh,2016,3,27.83,30.92,25.38,54.2,82.74,3.55,Open-Meteo ERA5,Maret
Aceh,2016,4,27.85,30.85,25.73,109.0,85.3,2.64,Open-Meteo ERA5,April
Aceh,2016,5,27.87,30.54,26.1,202.8,85.81,3.34,Open-Meteo ERA5,Mei
Aceh,2016,6,27.45,30.24,25.59,127.2,81.07,4.67,Open-Meteo ERA5,Juni
Aceh,2016,7,27.31,30.12,25.4,92.3,81.74,4.27,Open-Meteo ERA5,Juli
Aceh,2016,8,26.74,29.25,25.09,269.2,83.13,5.53,Open-Meteo ERA5,Agustus
Aceh,2016,9,26.5,28.98,24.85,104.5,84.53,5.01,Open-Meteo ERA5,September
Aceh,2016,10,25.89,28.21,24.47,352.6,88.68,4.47,Open-Meteo ERA5,Oktober
Aceh,2016,11,25.82,28.53,24.18,364.7,91.0,2.77,Open-Meteo ERA5,November
Aceh,2016,12,25.82,28.27,24.17,268.8,88.71,3.68,Open-Meteo ERA5,Desember
Aceh,2017,1,24.92,27.47,23.06,492.9,88.06,3.95,Open-Meteo ERA5,Januari
Aceh,2017,2,25.54,28.64,23.09,153.3,82.29,4.28,Open-Meteo ERA5,Februari
Aceh,2017,3,25.62,28.41,23.26,210.7,86.16,3.13,Open-Meteo ERA5,Maret
Aceh,2017,4,26.33,29.11,24.26,190.9,86.2,3.21,Open-Meteo ERA5,April
Aceh,2017,5,26.62,29.06,24.73,220.0,83.13,4.65,Open-Meteo ERA5,Mei
Aceh,2017,6,27.54,30.5,25.09,13.1,75.73,5.12,Open-Meteo ERA5,Juni
Aceh,2017,7,27.63,31.15,24.81,39.9,70.65,5.91,Open-Meteo ERA5,Juli
Aceh,2017,8,26.64,29.74,24.16,121.9,78.97,4.91,Open-Meteo ERA5,Agustus
Aceh,2017,9,26.14,28.75,24.21,214.7,83.9,4.26,Open-Meteo ERA5,September
Aceh,2017,10,26.19,29.09,23.87,167.2,81.65,4.16,Open-Meteo ERA5,Oktober
Aceh,2017,11,25.24,27.73,23.37,341.9,89.03,2.97,Open-Meteo ERA5,November
Aceh,2017,12,25.13,27.84,23.04,387.9,86.94,3.84,Open-Meteo ERA5,Desember
Aceh,2018,1,25.12,28.16,22.71,174.9,85.84,3.07,Open-Meteo ERA5,Januari
Aceh,2018,2,25.77,29.16,23.11,81.1,81.5,4.17,Open-Meteo ERA5,Februari
Aceh,2018,3,25.95,29.18,23.34,178.8,84.42,3.49,Open-Meteo ERA5,Maret
Aceh,2018,4,26.15,29.2,23.81,154.9,85.7,3.23,Open-Meteo ERA5,April
Aceh,2018,5,26.14,29.13,23.88,243.2,86.9,2.65,Open-Meteo ERA5,Mei
Aceh,2018,6,27.17,30.35,24.58,63.7,78.93,4.72,Open-Meteo ERA5,Juni
Aceh,2018,7,27.21,30.18,24.89,63.8,73.97,6.11,Open-Meteo ERA5,Juli
Aceh,2018,8,27.04,30.2,24.48,52.4,74.03,6.32,Open-Meteo ERA5,Agustus
Aceh,2018,9,26.6,29.86,24.15,96.7,78.07,4.72,Open-Meteo ERA5,September
Aceh,2018,10,25.64,28.38,23.62,211.2,86.19,3.53,Open-Meteo ERA5,Oktober
Aceh,2018,11,25.39,28.21,23.32,193.9,88.87,3.03,Open-Meteo ERA5,November
Aceh,2018,12,25.45,28.45,23.12,330.0,87.19,3.14,Open-Meteo ERA5,Desember
Aceh,2019,1,25.66,28.94,23.24,151.0,83.03,3.96,Open-Meteo ERA5,Januari
Aceh,2019,2,26.02,29.4,23.27,106.8,82.71,4.1,Open-Meteo ERA5,Februari
Aceh,2019,3,26.56,29.84,23.76,86.5,82.48,3.69,Open-Meteo ERA5,Maret
Aceh,2019,4,27.11,30.45,24.5,177.0,83.2,2.97,Open-Meteo ERA5,April
Aceh,2019,5,27.77,30.83,25.37,46.3,78.81,4.1,Open-Meteo ERA5,Mei
Aceh,2019,6,27.82,31.41,25.1,70.5,75.2,4.7,Open-Meteo ERA5,Juni
Aceh,2019,7,27.5,31.06,24.55,114.0,75.1,4.75,Open-Meteo ERA5,Juli
Aceh,2019,8,28.05,31.98,25.24,48.4,69.23,5.69,Open-Meteo ERA5,Agustus
Aceh,2019,9,27.26,30.9,24.44,76.0,76.6,4.02,Open-Meteo ERA5,September
Aceh,2019,10,25.23,27.98,23.21,236.1,89.0,2.85,Open-Meteo ERA5,Oktober
Aceh,2019,11,25.82,28.98,23.48,109.8,83.77,3.65,Open-Meteo ERA5,November
Aceh,2019,12,25.47,28.61,23.23,137.6,83.94,4.37,Open-Meteo ERA5,Desember
Aceh,2020,1,26.76,30.51,23.88,44.0,75.19,5.38,Open-Meteo ERA5,Januari
Aceh,2020,2,27.2,31.23,24.13,25.1,73.55,5.75,Open-Meteo ERA5,Februari
Aceh,2020,3,26.85,30.51,23.92,139.7,81.1,4.38,Open-Meteo ERA5,Maret
Aceh,2020,4,26.63,29.84,24.29,221.4,85.2,3.04,Open-Meteo ERA5,April
Aceh,2020,5,26.66,29.37,24.54,658.4,85.71,3.99,Open-Meteo ERA5,Mei
Aceh,2020,6,27.01,30.19,24.37,69.7,80.1,3.82,Open-Meteo ERA5,Juni
Aceh,2020,7,26.65,29.94,24.05,110.8,80.42,3.51,Open-Meteo ERA5,Juli
Aceh,2020,8,27.26,30.68,24.44,78.2,76.42,4.52,Open-Meteo ERA5,Agustus
Aceh,2020,9,26.49,29.35,24.11,99.8,79.57,4.37,Open-Meteo ERA5,September
Aceh,2020,10,26.29,28.72,24.45,254.1,81.81,5.46,Open-Meteo ERA5,Oktober
Aceh,2020,11,25.44,28.24,23.45,226.2,88.67,3.06,Open-Meteo ERA5,November
Aceh,2020,12,25.06,27.88,23.0,343.1,88.16,3.47,Open-Meteo ERA5,Desember
Aceh,2021,1,25.26,28.54,22.89,254.9,84.35,4.24,Open-Meteo ERA5,Januari
Aceh,2021,2,26.36,30.12,23.33,78.3,78.29,4.56,Open-Meteo ERA5,Februari
Aceh,2021,3,26.22,30.06,23.44,180.8,81.45,3.77,Open-Meteo ERA5,Maret
Aceh,2021,4,26.51,29.56,24.16,133.8,83.23,3.98,Open-Meteo ERA5,April
Aceh,2021,5,26.92,29.9,24.57,183.5,83.58,3.94,Open-Meteo ERA5,Mei
Aceh,2021,6,27.02,30.33,24.54,76.5,76.83,4.55,Open-Meteo ERA5,Juni
Aceh,2021,7,26.86,29.95,24.37,157.4,76.97,5.39,Open-Meteo ERA5,Juli
Aceh,2021,8,26.68,29.51,24.45,98.7,77.97,4.64,Open-Meteo ERA5,Agustus
Aceh,2021,9,26.96,30.48,24.13,134.8,75.23,4.67,Open-Meteo ERA5,September
Aceh,2021,10,26.7,29.81,24.23,111.6,78.77,4.54,Open-Meteo ERA5,Oktober
Aceh,2021,11,25.19,28.12,23.17,370.1,88.5,3.3,Open-Meteo ERA5,November
Aceh,2021,12,25.45,28.67,22.97,144.9,82.87,4.63,Open-Meteo ERA5,Desember
Aceh,2022,1,25.55,29.06,22.86,124.8,82.35,3.91,Open-Meteo ERA5,Januari
Aceh,2022,2,25.51,29.03,23.11,217.3,84.71,3.87,Open-Meteo ERA5,Februari
Aceh,2022,3,25.84,29.12,23.31,214.0,85.65,3.19,Open-Meteo ERA5,Maret
Aceh,2022,4,26.42,29.64,23.86,134.0,83.97,3.09,Open-Meteo ERA5,April
Aceh,2022,5,27.23,30.14,24.86,124.6,79.19,4.92,Open-Meteo ERA5,Mei
Aceh,2022,6,26.69,30.07,24.11,83.1,77.8,4.66,Open-Meteo ERA5,Juni
Aceh,2022,7,26.9,30.14,24.34,107.0,76.97,5.31,Open-Meteo ERA5,Juli
Aceh,2022,8,26.92,30.27,24.13,108.8,74.65,5.2,Open-Meteo ERA5,Agustus
Aceh,2022,9,27.01,30.57,24.49,120.9,73.17,5.68,Open-Meteo ERA5,September
Aceh,2022,10,25.54,28.3,23.5,356.9,85.52,4.53,Open-Meteo ERA5,Oktober
Aceh,2022,11,25.21,27.91,23.17,348.7,87.03,3.57,Open-Meteo ERA5,November
Aceh,2022,12,24.67,27.63,22.61,431.7,88.23,3.54,Open-Meteo ERA5,Desember
Aceh,2023,1,24.8,28.31,22.19,238.3,84.32,4.04,Open-Meteo ERA5,Januari
Aceh,2023,2,25.24,28.55,22.68,165.4,84.32,3.92,Open-Meteo ERA5,Februari
Aceh,2023,3,25.81,29.45,23.02,189.1,82.16,3.98,Open-Meteo ERA5,Maret
Aceh,2023,4,26.78,30.16,24.05,76.5,82.37,3.72,Open-Meteo ERA5,April
Aceh,2023,5,27.68,30.82,25.07,144.4,77.87,4.66,Open-Meteo ERA5,Mei
Aceh,2023,6,28.24,31.76,25.27,57.0,70.13,5.67,Open-Meteo ERA5,Juni
Aceh,2023,7,28.07,31.68,25.21,77.9,69.39,5.85,Open-Meteo ERA5,Juli
Aceh,2023,8,27.65,31.14,24.87,120.5,73.58,5.44,Open-Meteo ERA5,Agustus
Aceh,2023,9,27.25,31.1,24.35,145.6,76.77,4.57,Open-Meteo ERA5,September
Aceh,2023,10,26.05,29.32,23.58,262.2,85.39,3.44,Open-Meteo ERA5,Oktober
Aceh,2023,11,25.5,28.66,23.28,332.3,89.7,2.96,Open-Meteo ERA5,November
Aceh,2023,12,25.71,28.91,23.45,331.0,87.94,4.0,Open-Meteo ERA5,Desember
Aceh,2024,1,26.19,29.93,23.28,156.3,82.26,4.46,Open-Meteo ERA5,Januari
Aceh,2024,2,27.23,31.18,23.86,53.0,76.69,5.2,Open-Meteo ERA5,Februari
Aceh,2024,3,27.47,31.8,24.03,80.3,78.52,4.08,Open-Meteo ERA5,Maret
Aceh,2024,4,27.82,31.99,24.72,91.5,80.23,3.28,Open-Meteo ERA5,April
Aceh,2024,5,27.84,31.64,25.24,200.0,81.84,3.77,Open-Meteo ERA5,Mei
Aceh,2024,6,28.92,32.98,25.84,24.0,68.37,5.0,Open-Meteo ERA5,Juni
Aceh,2024,7,29.55,33.86,26.25,53.5,62.58,5.53,Open-Meteo ERA5,Juli
Aceh,2024,8,27.36,31.22,24.47,165.7,75.87,4.42,Open-Meteo ERA5,Agustus
Aceh,2024,9,27.16,30.55,24.76,186.0,77.03,5.54,Open-Meteo ERA5,September
Aceh,2024,10,26.82,30.28,24.3,234.0,79.45,4.06,Open-Meteo ERA5,Oktober
Aceh,2024,11,26.26,29.69,23.87,273.2,83.73,3.91,Open-Meteo ERA5,November
Aceh,2024,12,25.73,29.07,23.45,330.2,87.42,3.23,Open-Meteo ERA5,Desember
Bali,2015,1,25.76,27.13,24.69,284.5,84.13,4.0,Open-Meteo ERA5,Januari
Bali,2015,2,25.71,27.25,24.19,297.2,85.93,2.85,Open-Meteo ERA5,Februari
Bali,2015,3,26.03,27.72,24.5,266.7,84.45,2.69,Open-Meteo ERA5,Maret
Bali,2015,4,25.98,27.56,24.39,368.1,87.33,2.41,Open-Meteo ERA5,April
Bali,2015,5,25.82,27.22,24.66,47.9,81.71,3.58,Open-Meteo ERA5,Mei
Bali,2015,6,25.18,26.56,24.27,23.2,81.27,4.79,Open-Meteo ERA5,Juni
Bali,2015,7,24.35,26.07,23.07,9.5,82.58,4.48,Open-Meteo ERA5,Juli
Bali,2015,8,24.2,26.01,22.97,5.8,81.35,4.92,Open-Meteo ERA5,Agustus
Bali,2015,9,24.43,26.46,22.99,13.9,83.1,4.65,Open-Meteo ERA5,September
Bali,2015,10,25.43,27.74,23.49,5.2,85.9,4.34,Open-Meteo ERA5,Oktober
Bali,2015,11,26.2,28.21,24.3,65.2,85.27,3.49,Open-Meteo ERA5,November
Bali,2015,12,26.24,27.79,24.86,308.6,85.87,3.12,Open-Meteo ERA5,Desember
Bali,2016,1,26.75,28.39,25.17,291.3,84.42,2.57,Open-Meteo ERA5,Januari
Bali,2016,2,25.95,27.61,24.54,694.5,89.0,2.63,Open-Meteo ERA5,Februari
Bali,2016,3,26.97,28.48,25.36,225.0,84.84,2.36,Open-Meteo ERA5,Maret
Bali,2016,4,27.26,28.83,25.87,174.5,82.47,2.74,Open-Meteo ERA5,April
Bali,2016,5,26.91,28.45,25.61,135.1,84.71,2.82,Open-Meteo ERA5,Mei
Bali,2016,6,26.45,27.91,25.07,110.4,82.93,3.01,Open-Meteo ERA5,Juni
Bali,2016,7,25.78,27.11,24.54,153.9,83.71,3.33,Open-Meteo ERA5,Juli
Bali,2016,8,25.2,26.74,23.93,68.0,82.52,3.75,Open-Meteo ERA5,Agustus
Bali,2016,9,25.82,27.51,24.5,182.2,85.5,3.33,Open-Meteo ERA5,September
Bali,2016,10,26.24,27.9,24.58,305.1,85.39,3.02,Open-Meteo ERA5,Oktober
Bali,2016,11,26.21,27.79,24.67,283.0,86.8,2.85,Open-Meteo ERA5,November
Bali,2016,12,26.0,27.52,24.75,536.0,86.16,3.26,Open-Meteo ERA5,Desember
Bali,2017,1,26.08,28.64,24.3,481.8,88.45,4.41,Open-Meteo ERA5,Januari
Bali,2017,2,26.03,28.41,24.08,457.9,87.11,4.75,Open-Meteo ERA5,Februari
Bali,2017,3,26.34,29.0,24.31,254.3,87.97,3.34,Open-Meteo ERA5,Maret
Bali,2017,4,26.3,28.83,23.96,226.8,87.4,3.32,Open-Meteo ERA5,April
Bali,2017,5,26.43,28.35,24.65,157.4,83.16,4.94,Open-Meteo ERA5,Mei
Bali,2017,6,25.72,27.5,24.17,152.1,84.67,5.55,Open-Meteo ERA5,Juni
Bali,2017,7,25.26,26.8,23.93,124.3,81.9,5.95,Open-Meteo ERA5,Juli
Bali,2017,8,24.98,26.79,23.38,59.1,81.0,6.17,Open-Meteo ERA5,Agustus
Bali,2017,9,25.5,27.83,23.41,68.9,81.8,5.45,Open-Meteo ERA5,September
Bali,2017,10,25.96,28.55,23.84,106.7,85.9,4.03,Open-Meteo ERA5,Oktober
Bali,2017,11,26.06,28.8,24.04,462.7,90.43,2.99,Open-Meteo ERA5,November
Bali,2017,12,26.04,28.49,24.22,367.4,89.16,4.05,Open-Meteo ERA5,Desember
Bali,2018,1,25.89,28.47,24.12,423.8,88.71,4.48,Open-Meteo ERA5,Januari
Bali,2018,2,25.72,28.23,23.86,424.2,88.93,4.0,Open-Meteo ERA5,Februari
Bali,2018,3,26.07,28.91,23.78,168.3,87.68,3.27,Open-Meteo ERA5,Maret
Bali,2018,4,26.85,29.64,24.17,51.7,84.03,4.17,Open-Meteo ERA5,April
Bali,2018,5,26.56,28.98,24.47,72.0,79.61,5.8,Open-Meteo ERA5,Mei
Bali,2018,6,25.62,27.65,23.72,82.7,82.37,5.63,Open-Meteo ERA5,Juni
Bali,2018,7,24.75,26.72,22.75,45.9,80.71,5.71,Open-Meteo ERA5,Juli
Bali,2018,8,24.24,26.37,22.23,71.3,82.1,5.25,Open-Meteo ERA5,Agustus
Bali,2018,9,25.02,27.83,22.27,35.6,81.8,4.57,Open-Meteo ERA5,September
Bali,2018,10,25.99,29.23,22.93,39.4,81.65,4.52,Open-Meteo ERA5,Oktober
Bali,2018,11,26.43,29.33,24.03,205.5,86.5,3.88,Open-Meteo ERA5,November
Bali,2018,12,26.52,28.81,24.37,187.4,85.55,4.58,Open-Meteo ERA5,Desember
Bali,2019,1,26.39,29.05,24.39,290.3,88.39,4.18,Open-Meteo ERA5,Januari
Bali,2019,2,26.52,29.21,24.25,158.1,88.07,3.42,Open-Meteo ERA5,Februari
Bali,2019,3,26.06,28.91,23.85,356.8,90.06,3.57,Open-Meteo ERA5,Maret
Bali,2019,4,26.49,28.99,24.34,210.9,88.2,4.11,Open-Meteo ERA5,April
Bali,2019,5,26.04,27.94,24.18,71.3,85.0,5.27,Open-Meteo ERA5,Mei
Bali,2019,6,24.99,27.01,23.02,54.3,84.43,5.67,Open-Meteo ERA5,Juni
Bali,2019,7,24.28,26.3,22.4,58.4,84.39,5.72,Open-Meteo ERA5,Juli
Bali,2019,8,24.06,26.36,21.91,45.1,84.45,5.69,Open-Meteo ERA5,Agustus
Bali,2019,9,24.45,26.92,22.26,39.2,85.07,5.59,Open-Meteo ERA5,September
Bali,2019,10,25.77,28.93,22.83,35.8,84.48,4.51,Open-Meteo ERA5,Oktober
Bali,2019,11,26.8,29.97,23.88,46.6,82.87,3.85,Open-Meteo ERA5,November
Bali,2019,12,27.47,31.04,24.64,151.3,84.1,3.22,Open-Meteo ERA5,Desember
Bali,2020,1,27.14,30.23,24.59,162.5,84.06,4.41,Open-Meteo ERA5,Januari
Bali,2020,2,26.94,30.02,24.53,182.7,86.34,3.79,Open-Meteo ERA5,Februari
Bali,2020,3,26.75,29.67,24.47,215.3,88.58,3.49,Open-Meteo ERA5,Maret
Bali,2020,4,26.92,29.66,24.39,166.1,86.2,3.79,Open-Meteo ERA5,April
Bali,2020,5,26.85,29.35,24.61,212.7,84.74,4.63,Open-Meteo ERA5,Mei
Bali,2020,6,25.95,27.89,24.07,110.1,82.77,5.61,Open-Meteo ERA5,Juni
Bali,2020,7,25.11,26.9,23.4,65.8,82.42,6.01,Open-Meteo ERA5,Juli
Bali,2020,8,24.97,27.06,22.94,73.5,85.1,5.58,Open-Meteo ERA5,Agustus
Bali,2020,9,25.55,28.0,23.18,79.0,85.53,4.76,Open-Meteo ERA5,September
Bali,2020,10,25.95,28.3,23.76,130.1,86.58,4.68,Open-Meteo ERA5,Oktober
Bali,2020,11,26.58,29.25,24.29,168.1,87.8,3.68,Open-Meteo ERA5,November
Bali,2020,12,26.06,28.45,24.15,259.5,87.94,4.04,Open-Meteo ERA5,Desember
Bali,2021,1,25.63,28.02,23.93,517.0,90.61,4.31,Open-Meteo ERA5,Januari
Bali,2021,2,25.94,28.48,24.07,266.3,88.89,4.08,Open-Meteo ERA5,Februari
Bali,2021,3,26.0,28.81,23.79,286.8,88.97,3.32,Open-Meteo ERA5,Maret
Bali,2021,4,26.27,28.92,23.57,46.2,83.2,3.62,Open-Meteo ERA5,April
Bali,2021,5,26.59,29.05,24.24,46.8,82.52,4.74,Open-Meteo ERA5,Mei
Bali,2021,6,26.1,28.74,23.66,127.5,86.0,4.34,Open-Meteo ERA5,Juni
Bali,2021,7,25.56,27.57,23.71,53.4,81.03,5.45,Open-Meteo ERA5,Juli
Bali,2021,8,25.25,27.24,23.33,104.3,85.42,5.36,Open-Meteo ERA5,Agustus
Bali,2021,9,25.5,27.66,23.54,112.1,85.23,5.02,Open-Meteo ERA5,September
Bali,2021,10,25.89,28.65,23.19,92.2,83.48,3.89,Open-Meteo ERA5,Oktober
Bali,2021,11,25.97,28.82,23.67,268.2,88.7,3.2,Open-Meteo ERA5,November
Bali,2021,12,26.27,29.04,24.03,276.7,88.0,4.21,Open-Meteo ERA5,Desember
Bali,2022,1,25.97,28.62,23.93,295.1,86.48,4.57,Open-Meteo ERA5,Januari
Bali,2022,2,26.0,28.94,23.64,227.5,87.75,3.86,Open-Meteo ERA5,Februari
Bali,2022,3,26.42,29.34,24.01,217.6,87.65,3.47,Open-Meteo ERA5,Maret
Bali,2022,4,26.51,29.42,23.78,125.7,84.47,3.51,Open-Meteo ERA5,April
Bali,2022,5,26.93,29.85,24.13,131.7,83.06,4.15,Open-Meteo ERA5,Mei
Bali,2022,6,26.19,28.71,23.9,150.6,82.4,4.71,Open-Meteo ERA5,Juni
Bali,2022,7,25.31,27.43,23.29,123.4,80.48,5.8,Open-Meteo ERA5,Juli
Bali,2022,8,25.38,27.75,23.05,68.5,81.52,5.46,Open-Meteo ERA5,Agustus
Bali,2022,9,25.49,28.08,22.89,100.8,84.0,4.64,Open-Meteo ERA5,September
Bali,2022,10,25.54,28.25,23.09,220.6,86.77,3.79,Open-Meteo ERA5,Oktober
Bali,2022,11,25.83,28.64,23.53,251.2,89.07,3.09,Open-Meteo ERA5,November
Bali,2022,12,25.77,28.57,23.35,359.7,86.29,4.35,Open-Meteo ERA5,Desember
Bali,2023,1,26.01,28.5,23.81,195.0,84.42,4.97,Open-Meteo ERA5,Januari
Bali,2023,2,25.59,28.28,23.74,428.2,88.57,5.19,Open-Meteo ERA5,Februari
Bali,2023,3,26.15,29.14,23.49,109.5,85.45,3.64,Open-Meteo ERA5,Maret
Bali,2023,4,26.07,28.67,23.73,210.3,87.33,4.02,Open-Meteo ERA5,April
Bali,2023,5,26.19,28.54,23.94,96.9,80.58,5.13,Open-Meteo ERA5,Mei
Bali,2023,6,25.77,28.36,23.23,51.3,81.67,4.8,Open-Meteo ERA5,Juni
Bali,2023,7,24.83,26.94,22.7,108.9,81.87,5.91,Open-Meteo ERA5,Juli
Bali,2023,8,24.35,27.25,21.5,35.3,84.06,6.08,Open-Meteo ERA5,Agustus
Bali,2023,9,24.85,28.04,21.77,33.8,82.27,5.82,Open-Meteo ERA5,September
Bali,2023,10,26.64,30.39,23.09,36.6,82.06,4.84,Open-Meteo ERA5,Oktober
Bali,2023,11,27.1,30.83,23.88,91.7,81.37,4.14,Open-Meteo ERA5,November
Bali,2023,12,27.27,30.94,23.99,102.7,79.13,3.98,Open-Meteo ERA5,Desember
Bali,2024,1,27.55,30.97,24.87,152.7,80.16,4.71,Open-Meteo ERA5,Januari
Bali,2024,2,26.93,30.66,24.33,246.0,85.34,3.66,Open-Meteo ERA5,Februari
Bali,2024,3,27.24,30.49,24.67,285.7,83.52,4.17,Open-Meteo ERA5,Maret
Bali,2024,4,26.78,29.48,24.5,230.3,87.37,4.42,Open-Meteo ERA5,April
Bali,2024,5,26.42,28.92,24.21,90.3,85.48,5.38,Open-Meteo ERA5,Mei
Bali,2024,6,25.76,28.08,23.58,80.8,83.7,5.6,Open-Meteo ERA5,Juni
Bali,2024,7,25.13,27.57,22.95,80.8,81.42,6.11,Open-Meteo ERA5,Juli
Bali,2024,8,25.02,28.19,21.96,36.2,80.52,5.57,Open-Meteo ERA5,Agustus
Bali,2024,9,26.0,29.57,22.75,62.7,81.93,4.92,Open-Meteo ERA5,September
Bali,2024,10,26.78,30.51,23.22,71.3,79.32,4.93,Open-Meteo ERA5,Oktober
Bali,2024,11,27.43,30.98,24.32,207.8,82.13,3.37,Open-Meteo ERA5,November
Bali,2024,12,26.24,28.8,24.45,415.8,87.48,4.56,Open-Meteo ERA5,Desember
Banten,2015,1,25.7,28.12,24.02,264.6,87.52,4.21,Open-Meteo ERA5,Januari
Banten,2015,2,25.85,28.6,23.77,252.4,87.25,3.7,Open-Meteo ERA5,Februari
Banten,2015,3,26.15,29.0,24.05,253.1,87.16,3.23,Open-Meteo ERA5,Maret
Banten,2015,4,26.34,29.14,24.38,238.5,87.73,3.56,Open-Meteo ERA5,April
Banten,2015,5,26.79,30.04,24.17,51.7,84.58,3.37,Open-Meteo ERA5,Mei
Banten,2015,6,26.71,30.08,23.85,50.1,83.1,3.28,Open-Meteo ERA5,Juni
Banten,2015,7,26.75,30.55,23.55,16.7,77.84,4.22,Open-Meteo ERA5,Juli
Banten,2015,8,27.09,31.18,23.78,16.1,75.45,4.3,Open-Meteo ERA5,Agustus
Banten,2015,9,27.87,32.55,24.11,17.8,70.8,4.21,Open-Meteo ERA5,September
Banten,2015,10,28.39,33.1,24.5,9.6,70.71,4.23,Open-Meteo ERA5,Oktober
Banten,2015,11,27.53,31.04,25.08,130.8,80.9,3.14,Open-Meteo ERA5,November
Banten,2015,12,26.48,29.12,24.49,334.6,86.84,3.69,Open-Meteo ERA5,Desember
Banten,2016,1,26.77,29.5,24.68,296.0,87.68,3.48,Open-Meteo ERA5,Januari
Banten,2016,2,26.47,29.01,24.68,324.9,88.38,3.74,Open-Meteo ERA5,Februari
Banten,2016,3,27.01,29.85,25.1,338.8,87.71,3.33,Open-Meteo ERA5,Maret
Banten,2016,4,26.95,29.85,25.0,295.9,88.13,3.21,Open-Meteo ERA5,April
Banten,2016,5,26.9,29.77,24.93,228.5,88.19,3.18,Open-Meteo ERA5,Mei
Banten,2016,6,26.59,29.6,24.31,131.4,87.07,2.73,Open-Meteo ERA5,Juni
Banten,2016,7,26.38,29.47,24.02,107.9,86.39,2.78,Open-Meteo ERA5,Juli
Banten,2016,8,26.48,29.59,23.98,95.9,85.16,2.83,Open-Meteo ERA5,Agustus
Banten,2016,9,26.53,29.53,24.27,210.6,85.37,2.99,Open-Meteo ERA5,September
Banten,2016,10,26.25,29.25,24.38,270.9,87.52,3.69,Open-Meteo ERA5,Oktober
Banten,2016,11,26.52,29.61,24.53,211.2,86.93,2.91,Open-Meteo ERA5,November
Banten,2016,12,26.11,28.57,24.47,245.1,87.26,5.02,Open-Meteo ERA5,Desember
Banten,2017,1,26.02,29.13,23.55,233.6,84.71,4.13,Open-Meteo ERA5,Januari
Banten,2017,2,25.54,28.54,23.39,329.7,86.25,3.88,Open-Meteo ERA5,Februari
Banten,2017,3,26.13,29.59,23.45,233.1,85.42,3.06,Open-Meteo ERA5,Maret
Banten,2017,4,26.27,29.72,23.56,238.4,85.1,2.6,Open-Meteo ERA5,April
Banten,2017,5,26.54,29.82,23.9,209.3,84.97,2.44,Open-Meteo ERA5,Mei
Banten,2017,6,26.12,29.31,23.56,158.5,84.93,2.6,Open-Meteo ERA5,Juni
Banten,2017,7,25.94,29.39,23.16,92.4,83.61,2.59,Open-Meteo ERA5,Juli
Banten,2017,8,26.47,30.3,23.11,27.7,77.1,3.08,Open-Meteo ERA5,Agustus
Banten,2017,9,27.16,31.36,23.78,109.7,75.37,3.36,Open-Meteo ERA5,September
Banten,2017,10,26.78,30.65,23.8,249.5,81.32,3.08,Open-Meteo ERA5,Oktober
Banten,2017,11,26.7,30.6,23.97,251.4,81.4,3.52,Open-Meteo ERA5,November
Banten,2017,12,26.14,29.66,23.51,202.7,82.87,3.62,Open-Meteo ERA5,Desember
Banten,2018,1,25.95,28.91,23.7,229.5,82.26,4.38,Open-Meteo ERA5,Januari
Banten,2018,2,25.64,28.81,23.22,325.1,86.11,3.42,Open-Meteo ERA5,Februari
Banten,2018,3,26.01,29.66,23.16,274.7,85.42,3.03,Open-Meteo ERA5,Maret
Banten,2018,4,26.07,29.41,23.42,221.4,86.43,2.7,Open-Meteo ERA5,April
Banten,2018,5,26.4,29.85,23.51,124.7,84.06,2.56,Open-Meteo ERA5,Mei
Banten,2018,6,26.11,29.53,23.16,91.3,84.43,2.63,Open-Meteo ERA5,Juni
Banten,2018,7,25.84,29.85,22.36,19.5,79.1,2.85,Open-Meteo ERA5,Juli
